061.0 069.0
062.0 069.6
063.0 070.3
064.0 071.0
065.0 071.8
066.0 072.7
067.0 073.6
068.0 074.6
069.0 075.8
070.0 077.1
071.0 078.5
072.0 080.2
073.0 082.0
074.0 084.2
075.0 086.7
076.0 089.7
077.0 093.3
078.0 097.8
079.0 103.7
080.0 112.3
081.0 128.8
081.0 152.6
080.0 169.1
079.0 177.7
078.0 183.6
077.0 188.1
076.0 191.7
075.0 194.7
074.0 197.2
073.0 199.4
072.0 201.2
071.0 202.9
070.0 204.3
069.0 205.6
068.0 206.8
067.0 207.8
066.0 208.7
065.0 209.6
064.0 210.4
063.0 211.1
062.0 211.8
061.0 212.4
060.0 213.0
059.0 213.5
058.0 214.0
057.0 214.5
056.0 214.9
055.0 215.3
054.0 215.7
053.0 216.1
052.0 216.4
051.0 216.7
050.0 217.0
049.0 217.3
048.0 217.6
047.0 217.8
046.0 218.0
045.0 218.3
044.0 218.5
043.0 218.7
042.0 218.9
041.0 219.1
040.0 219.2
039.0 219.4
038.0 219.6
